street_name,stops_number,stop_name_dirty
1 Maja ,"['3033,3032']",Dubois (Zgierz) 
1 Maja ,"['3303,3304']",MDK (Aleksandrów) 
1 Maja ,"['3262,3034']",Piłsudskiego (Zgierz) 
1 Maja ,['0523'],Pogonowskiego 
1 Maja ,['3030'],plac Kilińskiego (Zgierz) 
1 Maja ,['0522'],Żeligowskiego 
11 Listopada ,['2190'],Dw. Łódź Radogoszcz Zach. 
11 Listopada ,['2189'],Dw. Łódź Radogoszcz Zach.NŻ 
11 Listopada ,"['0460,0454']",Jantarowa 
11 Listopada ,['2191'],Radogoszcz Zachód 
3 Maja ,['4863'],Kilińskiego/CPN (Lutomiersk) NŻ 
3 Maja ,"['3733,3734']",Moniuszki (Lutomiersk) 
3 Maja ,"['0525,0528']",Morska 
3 Maja ,"['0527,0526']",Świetlicowa 
6 Sierpnia ,['2156'],Pogonowskiego NŻ 
Abramowskiego ,['0001'],Sienkiewicza 
Aleksandrowska ,"['0012,0014,0013,0015']",Bielicowa 
Aleksandrowska ,"['1902,1901']",Chochoła 
Aleksandrowska ,"['0018,0008,0019,0009']",Kaczeńcowa 
Aleksandrowska ,"['0022,0003']",Lechicka 
Aleksandrowska ,"['1448,1447']",Romanowska 
Aleksandrowska ,['1871'],Rydzowa 
Aleksandrowska ,"['1903,1904']",Spadkowa 
Aleksandrowska ,"['0004,1900,1899,1821,0021']",Szczecińska 
Aleksandrowska ,"['0020,1897,0007']",Szparagowa 
Aleksandrowska ,"['0011,0010,0016,0017']",Traktorowa 
Andrespol ,['3233'],Andrespol 
Andrespol ,['3386'],Urząd Gminy 
Armii Krajowej ,"['2296,2297']",Batalionów Chłopskich 
Armii Krajowej ,"['4778,3268']",Długa (Zgierz) 
Armii Krajowej ,"['0024,0025']",Napierskiego 
Augustów ,"['0031,0026']",Bacewicz NŻ 
Augustów ,"['0410,0409']",Rokicińska 
Augustów ,"['0028,0029']",Rokicińska NŻ 
Augustów ,"['0030,0027']",Wujaka 
Bandurskiego ,"['1773,1772']",Atlas Arena 
Bandurskiego ,"['1599,1595,1596,2090']",Dw. Łódź Kaliska 
Bandurskiego ,"['1597,1600']",Wileńska 
Bandurskiego ,"['2126,2125']",Wróblewskiego 
Bartoszewskiego ,"['0940,0941']",Demokratyczna 
Bartoszewskiego ,['0937'],Pabianicka 
Bartoszewskiego ,"['0939,0938']",Pryncypalna 
Bartoszewskiego ,['1034'],Rzgowska NŻ 
Bartoszewskiego ,"['0942,0943']",Siostrzana 
Bałucki Rynek ,"['1869,1870']",Bałucki Rynek 
Bednarska ,['2295'],Pabianicka 
Bednarska ,"['2228,2229']",Unicka NŻ 
Biegunowa ,"['0147,1876']",Krakowska 
Biegunowa ,"['0156,1586']",Krańcowa 
Bieszczadzka ,"['0037,0038']",Kolumny NŻ 
Bohaterów Warszawy ,['3242'],Gimnazjum(Brzeziny) 
Borowa ,['0039'],Siewna 
Boya Żeleńskiego ,"['0040,0041']",Sucharskiego 
Bratysławska ,['0044'],Wileńska 
Bratysławska ,"['0042,0045']",Wróblewskiego 
Broniewskiego ,"['0053,0047']",Kilińskiego 
Broniewskiego ,"['0052,0048']",Kraszewskiego 
Broniewskiego ,['0050'],Tatrzańska 
Broniewskiego ,"['0049,0051']",Śmigłego-Rydza 
Bronisin ,['1186'],Brójecka NŻ 
Bronisin ,"['1190,1243']",Paprociowa NŻ 
Bronisin ,"['1245,1247']",Wiskicka NŻ 
Bronisin Dworski ,"['3521,3522']",Pogodna 
Brukowa ,['0054'],Limanowskiego 
Brukowa ,"['0055,0057']",Pojezierska 
Brukowa ,['0056'],św. Teresy 
Brzezińska ,"['1803,1802']",Autostrada A1 # 
Brzezińska ,['1786'],CH M1 
Brzezińska ,"['0073,0069']",Granatowa NŻ 
Brzezińska ,"['0070,0072']",Hiacyntowa 
Brzezińska ,"['0065,0077']",Janosika 
Brzezińska ,"['0074,0068']",Karkonoska NŻ 
Brzezińska ,"['0078,0064']",Kerna 
Brzezińska ,"['0066,0076']",Marmurowa 
Brzezińska ,['3382'],Mazowiecka (Andrespol) NŻ 
Brzezińska ,"['1813,1973']",Nowosolna 
Brzezińska ,"['0075,0067']",Olkuska NŻ 
Brzezińska ,['3374'],Rokicińska(Andrespol) 
Brzezińska ,"['3375,3376']",Sienkiewicza(Andrespol) 
Brzezińska ,['3383'],Słowiańska(Andrespol) NŻ 
Brzezińska ,"['1799,1800']",Tatarkiewicza 
Brzezińska ,"['0063,0079']",Śnieżna 
Brzeźna ,"['0080,0081']",Piotrkowska 
Brójecka ,['0513'],Bronisin NŻ 
Brójecka ,"['0510,0508']",Czternastu Straconych NŻ 
Brójecka ,"['2074,2075']",Paprociowa NŻ 
Bukowiec ,"['3329,3330']",Bukowiec 61 
Byszewska ,"['3079,3083']",Boginia 
Byszewska ,"['1907,1906']",Byszewska 26 # 
Byszewska ,['1905'],Nowosolna 
Byszewska ,"['1908,1909']",Pomarańczowa 
Chocianowicka ,"['0088,0083']",Chocianowicka 143 
Chocianowicka ,['0089'],Chocianowicka 199 
Chocianowicka ,['0082'],Chocianowicka 199 NŻ 
Chocianowicka ,"['0086,0085']",Chocianowicka 57 NŻ 
Chocianowicka ,['0087'],Chocianowicka 95 
Chocianowicka ,['0084'],Chocianowicka 95 NŻ 
Chocianowicka ,['2016'],Pabianicka 
Cmentarna ,['4899'],Legionów 
Cmentarna ,['4689'],Srebrzyńska 
Czahary ,['0180'],Czahary 
Czahary ,['2310'],Prądzyńskiego 
Czahary ,['1865'],Prądzyńskiego NŻ 
Czechosłowacka ,"['0094,0095']",Edwarda 
Czechosłowacka ,"['0093,0096']",Mazowiecka 
Czechosłowacka ,['0097'],Niciarniana 
Czerwona ,['0098'],Piotrkowska NŻ 
DK nr 71 ,"['0176,0177']",Godlewskiego NŻ 
DK nr 71 ,"['0174,0175']",Przyklasztorze NŻ 
DK nr 71 ,"['0138,0139']",Łagiewniki Nowe NŻ 
Daszyńskiego ,"['3306,3302']",Sienkiewicza (Aleks.) 
Demokratyczna ,['0722'],Bartoszewskiego 
Demokratyczna ,['0132'],Bartoszewskiego NŻ 
Demokratyczna ,['0131'],Demokratyczna 117 NŻ 
Demokratyczna ,"['0134,0129']",Dzwonowa 
Demokratyczna ,"['0133,0130']",Matowa NŻ 
Demokratyczna ,['0135'],Starorudzka 
Demokratyczna ,['0731'],Trybunalska 
Dobieszków ,['3452'],Hotel 
Dobieszków ,"['3453,3454']",Młyn 
Dobieszków ,['3451'],O.Sz. i W 
Dobieszków ,"['3455,3456']",Wieś 
Dojazdowa ,['4894'],Słowicza NŻ 
Dolna ,"['4590,0136,0137']",Łagiewnicka 
Doły ,"['1593,1877']",Smutna NŻ 
Doły ,"['1592,1878']",Telefoniczna NŻ 
Drewnowska ,"['0141,0145']",Karskiego NŻ 
Drewnowska ,['0146'],Kasprzaka 
Drewnowska ,['0140'],Okrzei 
Drewnowska ,"['0142,0144']",Piwna 
Drewnowska ,['0143'],Zachodnia 
Dubois ,"['0150,0153']",Hoffmanowej 
Dubois ,"['0151,0152']",Pabianicka 
Dubois ,"['0149,0154']",Pusta NŻ 
Dąbrowa ,"['3431,3432']",Dąbrowa 
Dąbrowskiego ,"['0114,1753,1754']",Dw. Łódź Dąbrowa 
Dąbrowskiego ,"['0123,0100,0124']",Kilińskiego 
Dąbrowskiego ,"['0119,0106,0107,0118']",Kossaka 
Dąbrowskiego ,"['0110,0112']",Lodowa 
Dąbrowskiego ,"['0109,0113']",Ossendowskiego 
Dąbrowskiego ,"['1630,1631,0117,0108']",Podhalańska 
Dąbrowskiego ,"['0127,0126']",Rzgowska 
Dąbrowskiego ,"['0120,0105,4663']",Tatrzańska 
Dąbrowskiego ,"['1857,0111']",Tomaszowska 
Dąbrowskiego ,"['0102,0122']",Śmigłego-Rydza 
Długa ,['3110'],Armii Krajowej(Zgierz) 
Długa ,"['3024,3025']",Sierakowskiego (Zgierz) 
Długa ,"['3029,3028']",Skłodowskiej-Curie (Zgierz) 
Długa ,"['3027,3026']",Spacerowa (Zgierz) 
Długa ,"['3031,3221']",plac Kilińskiego (Zgierz) 
Długa ,"['3022,3023']",Łagiewnicka (Zgierz) # 
Edwarda ,['2212'],Czechosłowacka 
Edwarda ,"['0162,0163']",Pomorska 
Ekonomiczna ,"['0254,0253']",Graniczna NŻ 
Ekonomiczna ,"['0252,0251']",Kwaterunkowa NŻ 
Ekonomiczna ,"['0413,0246']",Starorudzka NŻ 
Ekonomiczna ,"['0249,0250']",Żwawa NŻ 
Elektronowa ,['1875'],Nowe Sady 
Elektronowa ,['0164'],Obywatelska 
Elektronowa ,['0165'],Zakłady Mięsne 
Fabryczna ,['0169'],Kilińskiego 
Fabryczna ,"['0167,0168']",Przędzalniana 
Fabryczna ,['0166'],Targowa NŻ 
Feliksińska ,"['1577,1578']",Dworcowa NŻ 
Felińskiego ,"['1783,1917']",Gojawiczyńskiej 
Felińskiego ,"['0172,0171']",Kadłubka 
Felińskiego ,"['0170,0173']",Konspiracyjnego WP 
Fizylierów ,"['0179,2029']",Złotno 
Franciszkańska ,['2322'],Inflancka NŻ 
Franciszkańska ,['2321'],Kowalska 
Franciszkańska ,"['2299,2265']",Organizacji WiN 
Franciszkańska ,"['0189,0190']",Północna 
Franciszkańska ,"['0185,0188']",Tokarzewskiego 
Franciszkańska ,"['0183,4216,0184']",Wojska Polskiego 
Fredry ,['3180'],SP nr 1(Brzeziny) 
Gajcego ,"['2149,2148']",Dw. Łódź Andrzejów 
Gajcego ,"['2144,2145']",Rataja 
Gajcego ,"['1840,1841']",Rokicińska 
Gajcego ,['2150'],Rokicińska NŻ 
Gajcego ,"['2146,2147']",Szelburg-Zarembiny NŻ 
Gajcego ,"['0192,0191']",Słowiańska NŻ 
Gajcego ,"['1842,1413']",Zakładowa 
Gałczyńskiego ,"['3042,3043']",Parzęczewska  (Zgierz) 
Gałczyńskiego ,"['3044,3045']",Tuwima (Zgierz) 
Gdańska ,"['0195,0197']",1 Maja 
Gdańska ,['4924'],Gdańska 
Gdańska ,['0196'],Legionów 
Gdańska ,['0193'],Skłodowskiej-Curie 
Gdańska ,['0199'],Struga 
Gdańska ,"['0194,0198']",Zielona 
Gillette ,"['1914,2042']",Nowy Józefów 
Gojawiczyńskiej ,"['0201,0202']",Dąbrowskiego 
Golfowa ,['0575'],Maratońska 
Gombrowicza ,['0204'],Pabianicka NŻ 
Grabina ,"['3325,3326']",Grabina/Lipowa1 
Grabińska ,"['0043,0046']",Grabińska 10 NŻ 
Grabińska ,"['0034,0035']",Nowosolna 
Grabińska ,"['0059,0060']",Podwodna NŻ 
Graniczna ,['1643'],Graniczna 62 NŻ 
Graniczna ,"['2009,2010']",Przestrzenna NŻ 
Graniczna ,['1640'],Rozalii NŻ 
Główna ,"['3588,3589']",Bedońska 
Główna ,"['3586,3587']",Okólna 
Główna ,"['3592,3593']",Rybna 
Hetmańska ,"['1826,2109,2110,1827']",Dąbrówki 
Hetmańska ,"['2106,2105']",Janów 
Hetmańska ,['1811'],Juranda ze Spychowa 
Hetmańska ,"['2108,2107,1810,1809']",Zagłoby 
Hetmańska ,"['4721,2111,2112']",Zakładowa 
Hipoteczna ,['0207'],Limanowskiego 
Hipoteczna ,"['0205,0206']",Olsztyńska 
Hipoteczna ,"['2280,2281']",Pojezierska 
Inflancka ,"['0210,0211']",Gibalskiego 
Inflancka ,"['0212,0209']",Marysińska 
Inflancka ,"['4153,1404']",Zagajnikowa 
Inflancka ,"['0208,0213']",r. Powstańców 1863r. 
Inowrocławska ,['2234'],Wielkopolska 
Jana Pawła II ,['3551'],Daszyńskiego (Konst.) 
Jana Pawła II ,['3552'],Moniuszki (Konstantynów) 
Jana Pawła II ,"['1327,1294']",Obywatelska 
Jana Pawła II ,['1298'],Pabianicka 
Jana Pawła II ,"['1293,1328']",Rogozińskiego 
Jana Pawła II ,"['1295,1326']",Wróblewskiego 
Jana Pawła II ,"['3549,3550']",pl. Kościuszki (Konst.) 
Jana Pawła II ,"['3282,3553']",pl. Wolności(Konstantynów) 
Jana Pawła II ,"['1296,1325']",Łaska 
Janosika ,"['0217,0218']",Powstańców Śląskich 
Janosika ,"['0221,0214']",Pszczyńska 
Janosika ,"['0215,0220']",Telefoniczna 
Janosika ,"['0219,0216']",Wyżynna 
Jaracza ,['0224'],Kilińskiego 
Jaracza ,['0223'],P.O.W. 
Jaracza ,['0225'],Piotrkowska 
Jaracza ,['0222'],Wierzbowa 
Julianowska ,"['0237,0234']",Zgierska 
Julianowska ,"['0235,0236']",Żarnowcowa 
Jędrzejowska ,"['2244,2245']",Whirlpool NŻ 
Józefów ,"['0229,0230']",Bieszczadzka NŻ 
Józefów ,"['0228,0231']",Józefów 60 NŻ 
Józefów ,"['0232,0227']",Nowe Górki NŻ 
Józefów ,"['0233,0226']",Rzgowska NŻ 
Kaczeńcowa ,"['0239,0243']",Aleksandrowska 
Kaczeńcowa ,"['0240,0242']",Kaczeńcowa 16 NŻ 
Kaczeńcowa ,"['0244,0238']",Lniana 
Kaczeńcowa ,['0241'],św. Teresy 
Karolewska ,['0257'],Wileńska 
Karolewska ,['1690'],Włókniarzy 
Karolewska ,"['2071,2072']",Włókniarzy (Dw. Ł. Kaliska) 
Kasprowicza ,"['1715,1720']",ROD Relaks NŻ 
Kasprowicza ,"['1716,1719']",Witkacego NŻ 
Kasprzaka ,"['0264,0261']",Drewnowska 
Kasprzaka ,"['0262,0263']",Kutrzeby 
Kasprzaka ,"['0266,0259']",Legionów 
Kasprzaka ,"['0260,0265']",Srebrzyńska 
Kilińskiego ,"['0316,0270']",Broniewskiego 
Kilińskiego ,"['2178,2177']",Dw. Łódź Chojny 
Kilińskiego ,"['0271,0272,0314']",Dąbrowskiego 
Kilińskiego ,"['0282,0303']",Fabryczna 
Kilińskiego ,['2337'],Jaracza 
Kilińskiego ,['4861'],Klasztor (Lutomiersk) NŻ 
